make_model_ordinal,price,type_ordinal,warranty_ordinal,mileage,gearbox_ordinal,fuel_type,seller,engine_size,gears,co_emissions,drivetrain,empty_weight,full_service_history,upholstery,previous_owner,energy_efficiency_class,age,power_kW,cons_avg,comfort_&_convenience_Package,num_of_extras,safety_security_package_labeled,entertainment_media_package_labeled,Compact,Convertible,Coupe,Off-Road/Pick-up,Sedan,Station wagon
7.0,38350.0,2.0,1.0,8000.0,1.0,0.0,1.0,1332.0,7.0,138.0,1.0,1275.0,0.0,1.0,1.0,0.0,1.0,120.0,5.3,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,23400.0,0.0,0.0,87500.0,1.0,1.0,1.0,2143.0,7.0,101.5,1.0,1475.0,0.0,1.0,2.0,1.0,6.0,100.0,4.1,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13.0,7350.0,0.0,1.0,61170.0,1.0,0.0,1.0,1498.0,5.0,171.0,1.0,1225.0,1.0,1.0,2.0,1.0,16.0,70.0,7.2,2.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,21450.0,0.0,0.0,116715.0,1.0,1.0,1.0,2143.0,7.0,101.5,1.0,1475.0,0.0,1.0,1.0,1.0,5.0,100.0,4.1,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6.0,43880.0,2.0,1.0,8000.0,1.0,1.0,1.0,1950.0,7.0,133.0,1.0,1485.0,1.0,1.0,1.0,1.0,1.0,140.0,4.4,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,23900.0,0.0,0.0,98781.0,1.0,1.0,1.0,2143.0,7.0,101.5,1.0,1485.0,0.0,1.0,1.0,1.0,5.0,100.0,3.8,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.0,38880.0,2.0,1.0,22000.0,1.0,1.0,1.0,1950.0,8.0,136.0,1.0,1485.0,1.0,1.0,1.0,1.0,2.0,110.0,4.4,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,27900.0,0.0,0.0,19785.0,1.0,0.0,1.0,1461.0,7.0,126.0,1.0,1295.0,0.0,0.0,1.0,0.0,1.0,100.0,5.4,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,33900.0,0.0,0.0,35758.0,1.0,1.0,1.0,1950.0,8.0,101.5,1.0,1510.0,0.0,1.0,1.0,1.0,2.0,110.0,4.1,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,64999.0,0.0,1.0,30273.0,1.0,0.0,1.0,1991.0,7.0,183.0,2.0,1555.0,0.0,1.0,1.0,0.0,2.0,310.0,8.4,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
